source,target,weight,label
MOLIA,SILVIA,1,MOTHER OF
MOLIA,PEGGY,1,HOUSEMATE OF
MOLIA,SHIPMATE,1,SHIPMATE OF
MOLIA,OGO,1,IGBO
MOLIA,ABBA,1,CAREGIVER OF/FOR
MOLIA,,1,GARDENER
SILVIA,MOLIA,1,DAUGHTER OF
EGYPT LUCY,JULINA,1,MOTHER OF
EGYPT LUCY,LITTLE QUASHE,1,MOTHER OF
EGYPT LUCY,PHIBBAH,1,FRIEND OF
EGYPT LUCY,NANCY,1,FRIEND OF
EGYPT LUCY,HOUSE FRANKE,1,FRIEND OF
EGYPT LUCY,VINE,1,FRIEND OF
EGYPT LUCY,PHIBBAH,1,BUSINESS PARTNER OF
EGYPT LUCY,HOUSE FRANKE,1,BUSINESS PARTNER OF
EGYPT LUCY,NANCY,1,BUSINESS PARTNER OF
EGYPT LUCY,COOBAH,1,BUSINESS PARTNER OF
EGYPT LUCY,JOHN,1,WETNURSE OF
EGYPT LUCY,JOHN,1,CAREGIVER OF/FOR
EGYPT LUCY,,1,GARDENER
EGYPT LUCY,OGO,1,SEASONER TO
EGYPT LUCY,MASON QUASHE,1,DOMESTIC PARTNER OF
EGYPT LUCY,DANIEL,1,DOMESTIC PARTNER OF
JULINA,EGYPT LUCY,1,DAUGHTER OF
JULINA,LITTLE QUASHE,1,SISTER OF
JULINA,MOLIA,1,CAREGIVER OF/FOR
JULINA,,1,DOMESTIC PARTNER OF
LITTLE QUASHE,EGYPT LUCY,1,SON OF
LITTLE QUASHE,JULINA,1,BROTHER OF
ABBA,JOHNIE,1,MOTHER OF
ABBA,MARY,1,MOTHER OF
ABBA,SALLY,1,HOUSEMATE OF
ABBA,,1,AFRICAN
ABBA,,1,ANANSI STORYTELLER TO
PHIBBAH,JOHN,1,MOTHER OF
PHIBBAH,COOBAH,1,MOTHER OF
PHIBBAH,NANCY,1,SISTER OF
PHIBBAH,,1,AUNT OF
PHIBBAH,HOUSE FRANKE,1,FRIEND OF
PHIBBAH,VINE,1,FRIEND OF
PHIBBAH,NANCY,1,FRIEND OF
PHIBBAH,HOUSE FRANKE,1,BUSINESS PARTNER OF
PHIBBAH,NANCY,1,BUSINESS PARTNER OF
PHIBBAH,COOBAH,1,BUSINESS PARTNER OF
PHIBBAH,LITTLE QUASHE,1,NURSE OF/FOR
PHIBBAH,EGYPT LUCY,1,NURSE OF/FOR
NANCY,PHIBBAH,1,SISTER OF
NANCY,PHIBBAH,1,BUSINESS PARTNER OF
NANCY,HOUSE FRANKE,1,BUSINESS PARTNER OF
NANCY,COOBAH,1,BUSINESS PARTNER OF
NANCY,EGYPT LUCY,1,BUSINESS PARTNER OF
NANCY,PHIBBAH,1,FRIEND OF
NANCY,HOUSE FRANKE,1,FRIEND OF
NANCY,VINE,1,FRIEND OF
NANCY,EGYPT LUCY,1,FRIEND OF
NANCY,COOBAH,1,AUNT OF
NANCY,JOHN,1,AUNT OF
NANCY,,1,MOTHER OF
JOHN,PHIBBAH,1,SON OF
JOHN,COOBAH,1,BROTHER OF
HOUSE FRANKE,PHIBBAH,1,FRIEND OF
HOUSE FRANKE,EGYPT LUCY,1,FRIEND OF
HOUSE FRANKE,NANCY,1,FRIEND OF
HOUSE FRANKE,VINE,1,FRIEND OF
HOUSE FRANKE,PHIBBAH,1,BUSINESS PARTNER OF
HOUSE FRANKE,COOBAH,1,BUSINESS PARTNER OF
HOUSE FRANKE,NANCY,1,BUSINESS PARTNER OF
HOUSE FRANKE,EGYPT LUCY,1,BUSINESS PARTNER OF
HOUSE FRANKE,PHIBBAH,1,NURSE OF/FOR
OLD DAPHNE,PHIBBAH,1,MIDWIFE TO
OLD DAPHNE,JOHN,1,MIDWIFE TO
VINE,PHIBBAH,1,NURSE OF/FOR
VINE,PHIBBAH,1,FRIEND OF
VINE,EGYPT LUCY,1,FRIEND OF
VINE,NANCY,1,FRIEND OF
VINE,HOUSE FRANKE,1,FRIEND OF
VINE,,1,ANANSI STORYTELLER TO
VINE,,1,DOMESTIC PARTNER OF
VINE,,1,DOMESTIC PARTNER OF
VINE,,1,DAUGHTER OF
OGO,,1,IGBO
OGO,LUCY,1,MOTHER OF
OGO,ABASSE,1,NURSE OF/FOR
OGO,EGYPT LUCY,1,HOUSEMATE OF
OGO,JULINA,1,HOUSEMATE OF
OGO,LITTLE QUASHE,1,HOUSEMATE OF
OGO,EGPYT LUCY,1,SEASONEE OF
OGO,,1,CAREGIVER OF/FOR
OGO,SOLON,1,DOMESTIC PARTNER OF
LUCY,OGO,1,DAUGHTER OF
NANNY,,1,AFRICAN
NANNY,LITTLE PHIBBAH,1,MOTHER OF
NANNY,SILVIA,1,CAREGIVER OF/FOR
COOBAH,PHIBBAH,1,DAUGHTER OF
COOBAH,JOHN,1,SISTER OF
COOBAH,LITTLE NANCY,1,MOTHER OF
COOBAH,PHIBBAH,1,BUSINESS PARTNER OF
COOBAH,HOUSE FRANKE,1,BUSINESS PARTNER OF
COOBAH,NANCY,1,BUSINESS PARTNER OF
COOBAH,EGYPT LUCY,1,BUSINESS PARTNER OF
COOBAH,JOB,1,MYAL PRACTITIONER WITH
SALLY,,1,CONGO
SALLY,ABBA,1,HOUSEMATE OF
SALLY,,1,GARDENER
PARADISE QUASHEBA,EGYPT LUCY,1,MIDWIFE TO
PARADISE QUASHEBA,LITTLE QUASHE,1,MIDWIFE TO
PARADISE QUASHEBA,MOLIA,1,MIDWIFE TO
PARADISE QUASHEBA,SILVIA,1,MIDWIFE TO
PARADISE QUASHEBA,OGO,1,MIDWIFE TO
PARADISE QUASHEBA,LUCY,1,MIDWIFE TO
PARADISE QUASHEBA,NANNY,1,MIDWIFE TO
PARADISE QUASHEBA,LITTLE PHIBBAH,1,MIDWIFE TO
PEGGY,,1,AFRICAN
PEGGY,CHUB,1,SHIPMATE OF
PEGGY,PHOEBE,1,SHIPMATE OF
PEGGY,FRANKE,1,SHIPMATE OF
PEGGY,CUDJOE,1,SHIPMATE OF
PEGGY,MIRTILLA,1,SHIPMATE OF
PEGGY,JIMMY,1,SHIPMATE OF
PEGGY,DAMSEL,1,SHIPMATE OF
PEGGY,MOLIA,1,HOUSEMATE OF
PEGGY,SILVIA,1,HOUSEMATE OF
PEGGY,,1,GARDENER
JOHNIE,ABBA,1,SON OF
JOHNIE,MARY,1,BROTHER OF
MARY,ABBA,1,DAUGHTER OF
MARY,JOHNIE,1,SISTER OF
LITTLE PHIBBAH,NANNY,1,DAUGHTER OF
LITTLE PHIBBAH,,1,SISTER OF
SHIPMATE,,1,AFRICAN
SHIPMATE,MOLIA,1,SHIPMATE OF
LINCOLN,,1,IGBO
LINCOLN,SUKEY,1,DOMESTIC PARTNER OF
